principal-invest,institution,title,duration,funding,areas,Financial_year,Round,Year,Institution_code,Item_no,Batch_no
"Dr CHAN Lok Shun, Apple",City University of Hong Kong,"Investigating the Feasibility of Mandatory Implementation of Life Cycle Assessment on Renewable Energy Systems for Green Building Design in Hong Kong
",12,320000.0,Environmental Protection,2018-19,First Round,2017,A1,057,18A
"Dr SZETO Sing Ying, Elson",The Education University of Hong Kong,Career and Life Planning for Hong Kong Youth Development: Challenges and Opportunities,12,499627.0,Youth Development,2018-19,First Round,2017,A5,031,18A
Dr WEI Minchen,The Hong Kong Polytechnic University,The Possibility of Reducing Illuminance Level by Using LED Lighting Products with High Colour Rendering Index for Energy Reduction in Green Buildings,12,306691.0,Environmental Protection,2018-19,First Round,2017,A6,091,18A
"Dr Mehmet 
Ali KOSEOGLU",The Hong Kong Polytechnic University,Employing People with Disabilities in the Hong Kong Hotel Industry: Perspectives of Employers,12,120175.0,Livelihood Issues,2018-19,First Round,2017,A6,098,18A
Dr  LEE Jinsoo,The Hong Kong Polytechnic University,"Examining Cross-national Destination Image of Hong Kong with Big Data Analytics and Social and Cultural Distance
",18,320049.0,Economic Development,2018-19,First Round,2017,A6,100,18A
"Prof LOO Pui Ying, Becky",The University of Hong Kong,Re-establishing Ferry’s Key Position in the Sustainable Transport System of Hong Kong,18,810049.0,Others,2018-19,First Round,2017,A8,069,18A
Dr TIAN Linwei,The University of Hong Kong,Ambient Ozone Levels in Hong Kong: The Lower The Better?,12,500000.0,Environmental Protection,2018-19,First Round,2017,A8,072,18A
"Dr MAH Ngar Yin, Daphne",Hong Kong Baptist University,Engaging the Community to Develop a Model for Sustainable Energy Futures: A Case Study of Two Prospective Solar Communities in Hong Kong,12,632500.0,"Political Development and Governance, Environmental Protection, Others",2018-19,Second Round,2017,A2,027,18B
"Dr HE Jingwei, Alex",The Education University of Hong Kong,How to Increase the Demand for Private Long-term Care Insurance in Hong Kong?,15,1086951.0,Livelihood Issues,2018-19,Second Round,2017,A5,034,18B
"Dr YUNG Hiu Kwan, Esther",The Hong Kong Polytechnic University,An Analytical Study on Preferences of the Elderly in Visiting Public Open Spaces,12,380944.0,Livelihood Issues,2018-19,Second Round,2017,A6,102,18B
"Dr LIU Xihui, Sylvia",The Hong Kong Polytechnic University,Made in China 2025: The Challenges and Opportunities of the Hong Kong Design Industry,12,501070.0,Economic Development,2018-19,Second Round,2017,A6,104,18B
"Prof SHEN Qiping, Geoffrey",The Hong Kong Polytechnic University,Simulating the Impact of Construction Industrialization Policies on Its Update in Hong Kong: A Socio-technical System Perspective,18,625600.0,Economic Development,2018-19,Second Round,2017,A6,107,18B
Prof LAM Tai Pong,The University of Hong Kong,"Hong Kong Youths' Attitudes Towards Suicide, Coping Strategies and Online Help-seeking",18,880918.0,Youth Development,2018-19,Second Round,2017,A8,075,18B
"Dr LOU Weiqun, Vivian",The University of Hong Kong,Defining Sonhood: The Exploration of Lived Experience of the Caregiving Sons in Their Late Adulthood in Hong Kong,12,607582.0,Livelihood Issues,2018-19,Second Round,2017,A8,076,18B
"Prof SO Wing Mui, Winnie",The Education University of Hong Kong,"Challenges and Opportunities with Hong Kong Students' Science, Technology, Engineering, and Mathematics Aspirations",12,784300.0,Youth Development,2018-19,Third Round,2018,A5,041,18C
"Prof HUI Chi Man, Eddie",The Hong Kong Polytechnic University,"An Investigation of the Price and Rental Effects of ""Green"" Buildings in Hong Kong's Housing Market and Its Implications for Policy",12,422740.0,Environmental Protection,2018-19,Third Round,2018,A6,110,18C
"Dr YU Tit Wan, Ann",The Hong Kong Polytechnic University,Strategies and Measures for Construction and Demolition Waste Management of Refurbishing/Renovating Existing Buildings in Hong Kong,12,605015.0,Environmental Protection,2018-19,Third Round,2018,A6,111,18C
Dr YU Lu,The Hong Kong Polytechnic University,"Impact of Short-term Study in Mainland China Programme on Hong Kong Local University Students' Intercultural Competence, Perception and Attitude about Mainland China, and National Identity",18,594435.0,Youth Development,2018-19,Third Round,2018,A6,113,18C
Dr CHEN Gaowei,The University of Hong Kong,"Promoting Science, Technology, Engineering, and Mathematics Education in Hong Kong: Using Analytics-supported E-learning to Enhance Student Attitudes and Achievement in Science",18,575170.0,Application of Innovation and Technology,2018-19,Third Round,2017,A8,073,18C
"Prof CHAN Chung Shing, 
Johnson",The Chinese University of Hong Kong,Are Cities in Guangdong-Hong Kong-Macao Bay Area Development Attractive to University Students in Hong Kong? From Perceived Image to Locational Decisions,12,399044.0,Economic Development,2018-19,Fourth Round,2018,A4,048,18D
"Dr ZHENG Wan Tai, Victor",The Chinese University of Hong Kong,Meso-institution as Agent of Social Mobilization and Consensus Building: The Case of Tongxianghui,12,550000.0,Political Development and Governance,2018-19,Fourth Round,2018,A4,049,18D
Dr HUI Lai Ling,The Chinese University of Hong Kong,A Study on the View of Hong Kong Parents on Secondary Use of Dried Blood Spots in Newborn Screening Program - Implications on Evidence-based Policies,12,865398.0,Livelihood Issues,2018-19,Fourth Round,2018,A4,051,18D
Dr Norman AU,The Hong Kong Polytechnic University,Investigating the Potential for Robotic Technology Adoption in the Hong Kong Tourism Industry,12,292019.0,Economic Development,2018-19,Fourth Round,2018,A6,118,18D
Prof WU Xun,The Hong Kong University of Science and Technology,Trans-regional Air Pollution Control in the Guangdong-Hong Kong-Macau Greater Bay Area: The Interplay between Science and Policy,12,631966.0,"Political Development and Governance, Environmental Protection",2018-19,Fourth Round,2018,A7,013,18D
"Dr LU Weisheng, Wilson",The University of Hong Kong,"""Finding the Needles in a Haystack"": Identification of the Illegal Dumping of Construction Waste Using Big Data",18,447350.0,Environmental Protection,2018-19,Fourth Round,2018,A8,078,18D
"Prof LAU Wing Chung, Patrick",Hong Kong Baptist University,"How Can the United Kingdom's Elite Sport Success Inspire Elite Sport Policy in Hong Kong: The Cases of Cycling, Swimming and Taekwondo",12,601432.0,Others,2019-20,First Round,2019,A2,033,19A
"Dr ZHENG Wan Tai, Victor",The Chinese University of Hong Kong,Education as Soft Power: Hong Kong-trained Non-local University Students' Connections and Their Career Plan in Hong Kong ,12,495559.0,"Economic Development, Livelihood Issues",2019-20,First Round,2019,A4,054,19A
"Dr YUEN Wai Kwan, Gail",The Education University of Hong Kong,Investigating Space in Kindergartens under the Free Quality Kindergarten Education Scheme,14,537050.0,Others,2019-20,First Round,2019,A5,047,19A
"Prof CHIU Wing Kai, Stephen",The Education University of Hong Kong,The Long March towards Professionalization: Study of Chinese Medicine Practitioners' Attitudes towards Professional Development in Hong Kong,12,741761.0,Livelihood Issues,2019-20,First Round,2019,A5,052,19A
Dr RAN Maosheng,The University of Hong Kong,Understanding the Stigma in Promoting Community Recovery and Integration for Persons with Mental Illness in Hong Kong,12,612080.0,Livelihood Issues,2019-20,First Round,2019,A8,081,19A
Prof John BACON SHONE,The University of Hong Kong,Stalking: Intimate Partner Violence and Debt Collection Problems in Hong Kong,12,294630.0,Political Development and Governance,2019-20,First Round,2019,A8,083,19A
Prof Ray FORREST,Lingnan University,"Housing as an Intergenerational Project-parental Resources, Parental Strategies and the Housing Opportunities of Young People in Hong Kong",18,868278.0,"Land and Housing, Youth Development, Livelihood Issues",2019-20,Second Round,2019,A3,017,19B
Dr IP Iam Chong,Lingnan University,Privacy Challenges and Big Data in Smart City,12,268870.0,Political Development and Governance,2019-20,Second Round,2019,A3,018,19B
"Prof HO Sui Chu, Esther",The Chinese University of Hong Kong,"Health Behaviour in School-aged Children Study in Hong Kong: Assessing the Physical, Emotional and Social Well-being",12,985000.0,Youth Development,2019-20,Second Round,2019,A4,057,19B
Prof SHEN Jianfa,The Chinese University of Hong Kong,Hong Kong's Logistics Industry Development: Development Strategies in the New Spatial Context of the Guangdong-Hong Kong-Macao Greater Bay Area,12,552424.0,Economic Development,2019-20,Second Round,2019,A4,058,19B
Dr KING Ronnel Bornasal,The Education University of Hong Kong,Well-being of Filipino Domestic Workers in Hong Kong: A Public Policy Priority for the Future,12,711620.0,Livelihood Issues,2019-20,Second Round,2019,A5,053,19B
Prof CHOU Kee Lee,The Education University of Hong Kong,To Claim or Not to Claim: Towards a Better Understanding of the Take-up Rates of Welfare Schemes Targeting Hong Kong Older Adults and the Stigma Attached to Them,12,898610.0,Livelihood Issues,2019-20,Second Round,2019,A5,055,19B
Dr Lina VYAS,The Education University of Hong Kong,Advancing Job- and Health-associated Outcomes for Employees of Small and Medium Enterprises in Hong Kong: A Study on Workplace Supervisor Support with Smartphone-based and Capacity-building Interventions,24,882395.0,Livelihood Issues,2019-20,Second Round,2019,A5,057,19B
Prof LUI Tai Lok,The Education University of Hong Kong,Hong Kong's Professional Sector under Regionalization,18,835130.0,"Livelihood Issues, Economic Development",2019-20,Second Round,2019,A5,058,19B
"Dr CHAN Lok Shun, Apple",City University of Hong Kong ,Investigation on Incorporating Adjacent Shading Effect into Overall Thermal Transfer Value Regulation for Energy-Efficient Building Design in Hong Kong,12,333118.0,Environmental Protection,2019-20,Third Round,2019,A1,086,19C
"Dr KWOK LAI Yuk Ching, Sylvia",City University of Hong Kong ,Correlates of Family Strengths in Hong Kong - Implication for Family Wellbeing Policy,18,600000.0,Livelihood Issues,2019-20,Third Round,2019,A1,087,19C
Prof CHUNG Pak Kwong,Hong Kong Baptist University ,A Study of Development of Esports in Hong Kong,12,573637.0,Youth Development,2019-20,Third Round,2019,A2,036,19C
Dr JIANG Jin,Lingnan University,The Greater Bay Area and Career Opportunity for Hong Kong Youth: Integrating Big Data Analysis and Survey Experiments,24,500000.0,Youth Development,2019-20,Third Round,2019,A3,019,19C
Prof HUANG Hui,The Chinese University of Hong Kong,Improving the Effectiveness of Cross-boundary Securities Law Enforcement Between Hong Kong and Mainland China,12,364268.0,Economic Development,2019-20,Third Round,2019,A4,056,19C
"Dr WONG Yee Hang, Mathew",The Education University of Hong Kong,"Decomposing Between- and Within-group Income Inequality in Hong Kong: Politics, Welfare, and Identity",12,360578.0,Livelihood Issues,2019-20,Third Round,2019,A5,060,19C
Dr LEUNG Chi Hung,The Education University of Hong Kong,Investigating the Effectiveness of an Information Technology Entrepreneurship Training Program for Ethnic Minorities in Hong Kong,18,995026.0,"Economic Development, Youth Development,  Livelihood Issues",2019-20,Third Round,2019,A5,061,19C
"Prof LAW Chun Hung, Roberts",The Hong Kong Polytechnic University,Developing Hong Kong’s Smart Tourism,12,411355.0,Economic Development,2019-20,Third Round,2019,A6,136,19C
Prof John BACON SHONE,The University of Hong Kong ,The Contribution of Minority Languages and Dialects to Hong Kong’s Linguistic Landscape,12,824653.0,Livelihood Issues,2019-20,Third Round,2019,A8,086,19C
"Ms LAI Man Yin, Carine",Civic Exchange,Managing Vibrant Streets: Street Performance Policy in Hong Kong,16,1300000.0,Others,2019-20,Third Round,2019,C5,004,19C
Prof Richard Mark WALKER,City University of Hong Kong,Developing and Testing a Behavioral Theory of Performance Information Use for Hong Kong: Experimental Evidence on Cognitive Biases,14,908293.0,"Environmental Protection, Political Development and Governance, Others",2019-20,Fourth Round,2019,A1,089,19D
Prof LI Si Ming,Hong Kong Baptist University,Complex Housing Tenure and Residential Relocation: the Case of the Hong Kong Special Administrative Region ,12,653200.0,Land and Housing ,2019-20,Fourth Round,2019,A2,039,19D
Dr LAU Wing Fat,The Chinese University of Hong Kong,Teachers' Concerns about STEM Education: A Territory-wide Evaluation,12,399625.0,Application of Innovation and Technology,2019-20,Fourth Round,2019,A4,063,19D
Prof Bryan Christopher MERCURIO,The Chinese University of Hong Kong,Regulating Cross-border Data: A Public Policy Framework for Hong Kong,12,536199.0,Economic Development,2019-20,Fourth Round,2019,A4,064,19D
Prof LI Heng,The Hong Kong Polytechnic University,Solving Public Housing Problem in Hong Kong by Adopting Modular Integrated Construction (MiC) to Build the Transitional House,24,878025.0,Land and Housing ,2019-20,Fourth Round,2019,A6,143,19D
Dr SUN Yi,The Hong Kong Polytechnic University,Effects of Environment-related Experiences on Older Person’s Well-being in Hong Kong’s “Double Ageing” Context: A Person–environment Perspective,12,497030.0,Livelihood Issues,2019-20,Fourth Round,2019,A6,145,19D
